transaction_id,customer_id,transaction_date,product_category,amount,year,month,quarter,day_of_week,is_weekend,has_discount,discount_amount,final_amount
TXN_000001,CUST_0002,2022-03-01,Sports,111.17,2022,3,Q1,Tuesday,False,False,0.0,111.17
TXN_000002,CUST_0002,2022-03-01,Electronics,6.0,2022,3,Q1,Tuesday,False,False,0.0,6.0
TXN_000003,CUST_0002,2022-03-01,Home & Garden,31.91,2022,3,Q1,Tuesday,False,False,0.0,31.91
TXN_000004,CUST_0002,2022-03-22,Clothing,96.44,2022,3,Q1,Tuesday,False,False,0.0,96.44
TXN_000005,CUST_0002,2022-03-22,Clothing,91.59,2022,3,Q1,Tuesday,False,False,0.0,91.59
TXN_000006,CUST_0003,2023-08-29,Clothing,201.6,2023,8,Q3,Tuesday,False,False,0.0,201.6
TXN_000007,CUST_0003,2023-08-29,Clothing,299.18,2023,8,Q3,Tuesday,False,False,0.0,299.18
TXN_000008,CUST_0003,2023-08-29,Sports,264.36,2023,8,Q3,Tuesday,False,False,0.0,264.36
TXN_000009,CUST_0003,2023-08-29,Home & Garden,350.89,2023,8,Q3,Tuesday,False,False,0.0,350.89
TXN_000010,CUST_0003,2023-09-22,Clothing,137.82,2023,9,Q3,Friday,False,False,0.0,137.82
TXN_000011,CUST_0003,2023-09-22,Electronics,833.51,2023,9,Q3,Friday,False,False,0.0,833.51
TXN_000012,CUST_0003,2023-10-04,Clothing,140.87,2023,10,Q4,Wednesday,False,False,0.0,140.87
TXN_000013,CUST_0003,2023-10-04,Clothing,243.57,2023,10,Q4,Wednesday,False,False,0.0,243.57
TXN_000014,CUST_0003,2023-10-04,Electronics,857.53,2023,10,Q4,Wednesday,False,False,0.0,857.53
TXN_000015,CUST_0003,2023-11-11,Sports,472.49,2023,11,Q4,Saturday,True,False,0.0,472.49
TXN_000016,CUST_0003,2023-11-25,Books,185.39,2023,11,Q4,Saturday,True,False,0.0,185.39
TXN_000017,CUST_0003,2023-12-23,Electronics,1041.59,2023,12,Q4,Saturday,True,False,0.0,1041.59
TXN_000018,CUST_0003,2024-02-02,Books,64.79,2024,2,Q1,Friday,False,True,3.48,61.31000000000001
TXN_000019,CUST_0003,2024-02-02,Electronics,308.38,2024,2,Q1,Friday,False,False,0.0,308.38
TXN_000020,CUST_0003,2024-02-02,Clothing,264.24,2024,2,Q1,Friday,False,False,0.0,264.24
TXN_000021,CUST_0003,2024-02-18,Home & Garden,255.03,2024,2,Q1,Sunday,True,False,0.0,255.03
TXN_000022,CUST_0003,2024-02-18,Clothing,107.12,2024,2,Q1,Sunday,True,True,12.8,94.32000000000001
TXN_000023,CUST_0003,2024-03-04,Books,79.14,2024,3,Q1,Monday,False,False,0.0,79.14
TXN_000024,CUST_0003,2024-03-04,Home & Garden,205.34,2024,3,Q1,Monday,False,False,0.0,205.34
TXN_000025,CUST_0003,2024-03-20,Home & Garden,88.79,2024,3,Q1,Wednesday,False,False,0.0,88.79
TXN_000026,CUST_0003,2024-03-20,Home & Garden,248.61,2024,3,Q1,Wednesday,False,True,40.54,208.07000000000002
TXN_000027,CUST_0003,2024-05-28,Home & Garden,435.3,2024,5,Q2,Tuesday,False,False,0.0,435.3
TXN_000028,CUST_0003,2024-05-28,Home & Garden,246.13,2024,5,Q2,Tuesday,False,False,0.0,246.13
TXN_000029,CUST_0003,2024-05-29,Clothing,275.09,2024,5,Q2,Wednesday,False,False,0.0,275.09
TXN_000030,CUST_0003,2024-06-05,Books,87.04,2024,6,Q2,Wednesday,False,False,0.0,87.04
TXN_000031,CUST_0003,2024-06-05,Clothing,287.74,2024,6,Q2,Wednesday,False,False,0.0,287.74
TXN_000032,CUST_0003,2024-08-03,Home & Garden,260.64,2024,8,Q3,Saturday,True,False,0.0,260.64
TXN_000033,CUST_0003,2024-08-03,Books,26.28,2024,8,Q3,Saturday,True,False,0.0,26.28
TXN_000034,CUST_0003,2024-08-03,Electronics,423.03,2024,8,Q3,Saturday,True,False,0.0,423.03
TXN_000035,CUST_0003,2024-08-08,Clothing,118.45,2024,8,Q3,Thursday,False,False,0.0,118.45
TXN_000036,CUST_0003,2024-08-08,Clothing,159.91,2024,8,Q3,Thursday,False,False,0.0,159.91
TXN_000037,CUST_0003,2024-09-01,Clothing,325.25,2024,9,Q3,Sunday,True,False,0.0,325.25
TXN_000038,CUST_0003,2024-09-01,Books,33.29,2024,9,Q3,Sunday,True,False,0.0,33.29
TXN_000039,CUST_0003,2024-11-02,Clothing,151.07,2024,11,Q4,Saturday,True,True,21.75,129.32
TXN_000040,CUST_0003,2024-11-02,Clothing,310.65,2024,11,Q4,Saturday,True,False,0.0,310.65
TXN_000041,CUST_0003,2024-11-02,Electronics,874.93,2024,11,Q4,Saturday,True,False,0.0,874.93
TXN_000042,CUST_0003,2024-12-08,Clothing,365.4,2024,12,Q4,Sunday,True,False,0.0,365.4
TXN_000043,CUST_0003,2024-12-08,Electronics,583.89,2024,12,Q4,Sunday,True,False,0.0,583.89
TXN_000044,CUST_0005,2023-01-17,Electronics,294.0,2023,1,Q1,Tuesday,False,False,0.0,294.0
TXN_000045,CUST_0005,2023-04-05,Books,16.91,2023,4,Q2,Wednesday,False,False,0.0,16.91
